country,whatsapp_usd,sms_usd
AC,0.043,0.107
AD,0.043,0.13
AE,0.026,0.063066
AF,0.04,0.1806053
AG,0.043,0.108
AI,0.043,0.13
AL,0.043,0.087
AM,0.043,0.14
AO,0.043,0.087205
AR,0.043,0.0813093
AS,0.043,0.14
AT,0.043,0.086028
AU,0.043,0.012
AW,0.043,0.09052
AZ,0.043,0.35
BA,0.043,0.075
BB,0.043,0.161035
BD,0.043,0.29
BE,0.043,0.047
BF,0.043,0.12
BG,0.051,0.12
BH,0.043,0.036
BI,0.043,0.28
BJ,0.043,0.142096
BM,0.043,0.12
BN,0.043,0.017
BO,0.043,0.14
BQ,0.043,0.060027
BR,0.043,0.055
BS,0.043,0.046
BT,0.043,0.38
BW,0.043,0.09
BY,0.043,0.239038
BZ,0.043,0.269105
CA,0.043,0.0076
CD,0.043,0.18083
CF,0.043,0.092
CG,0.043,0.207045
CH,0.043,0.065
CI,0.043,0.24
CK,0.043,0.1057
CL,0.043,0.054
CM,0.043,0.16
CN,0.043,0.04042
CO,0.043,0.044
CR,0.043,0.039
CU,0.043,0.074
CV,0.043,0.17
CW,0.043,0.15
CY,0.043,0.077
CZ,0.043,0.058
DE,0.086,0.0600056
DJ,0.043,0.12305
DK,0.043,0.053
DM,0.043,0.16
DO,0.043,0.064093
DZ,0.027,0.13
EC,0.043,0.17
EE,0.043,0.084
EG,0.084,0.128079
ER,0.043,0.12
ES,0.043,0.074
ET,0.043,0.24
FI,0.043,0.079
FJ,0.043,0.16
FK,0.043,0.053
FM,0.043,0.073
FO,0.043,0.066
FR,0.068,0.033
GA,0.043,0.2
GB,0.039,0.0287402
GD,0.043,0.12
GE,0.043,0.16
GF,0.043,0.148302
GH,0.043,0.148302
GI,0.043,0.1046
GL,0.043,0.036059
GM,0.043,0.13
GN,0.043,0.14
GP,0.043,0.14
GQ,0.043,0.13
GR,0.043,0.055
GT,0.043,0.12
GU,0.043,0.059
GW,0.043,0.16
GY,0.043,0.146055
HK,0.043,0.068
HN,0.043,0.083
HR,0.043,0.082
HT,0.043,0.22
HU,0.043,0.077
ID,0.032,0.21024
IE,0.043,0.066
IL,0.043,0.17
IN,0.043,0.072
IQ,0.043,0.255409
IR,0.043,0.21
IS,0.043,0.068
IT,0.043,0.083
JM,0.043,0.18
JO,0.043,0.20073
JP,0.043,0.079
KE,0.043,0.1043
KG,0.043,0.24
KH,0.043,0.1603074
KI,0.043,0.11021
KM,0.043,0.241606
KN,0.043,0.1074
KP,0.043,0.017
KR,0.043,0.045
KW,0.043,0.24
KY,0.043,0.1099
KZ,0.043,0.22
LA,0.043,0.0669071
LB,0.043,0.239038
LC,0.043,0.168097
LI,0.043,0.033
LK,0.043,0.290066
LR,0.043,0.13
LS,0.043,0.215059
LT,0.043,0.057031
LU,0.043,0.072
LV,0.043,0.066
LY,0.043,0.34
MA,0.027,0.12
MC,0.043,0.14
MD,0.043,0.063
ME,0.043,0.098
MG,0.043,0.37
MH,0.043,0.16
MK,0.043,0.064
ML,0.043,0.16082
MM,0.043,0.22
MN,0.043,0.26
MO,0.043,0.029
MP,0.043,0.062809
MQ,0.043,0.13
MR,0.043,0.18
MS,0.043,0.11
MT,0.043,0.066
MU,0.043,0.16
MV,0.043,0.116202
MW,0.043,0.22
MX,0.043,0.064
MY,0.043,0.07
MZ,0.043,0.17
NC,0.043,0.14049
NE,0.043,0.3
NG,0.043,0.2
NI,0.043,0.080036
NL,0.071,0.051
NO,0.043,0.065
NP,0.043,0.18
NR,0.043,0.209057
NZ,0.043,0.092
OM,0.043,0.13086
PA,0.043,0.1
PE,0.043,0.093
PF,0.043,0.16
PG,0.043,0.17
PH,0.043,0.19
PK,0.03,0.18
PL,0.043,0.039
PM,0.043,0.11
PR,0.043,0.041302
PS,0.043,0.3607
PT,0.043,0.048
PW,0.043,0.089
PY,0.043,0.06099
QA,0.043,0.16
RE,0.043,0.15
RO,0.043,0.068
RS,0.043,0.194098
RU,0.068,0.17
RW,0.043,0.18
SA,0.032,0.062
SB,0.043,0.072
SC,0.043,0.03
SD,0.043,0.2861073
SE,0.043,0.058208
SG,0.043,0.047
SH,0.043,0.107
SI,0.043,0.15
SK,0.043,0.082711
SL,0.043,0.18083
SM,0.043,0.105609
SN,0.043,0.2
SO,0.043,0.181044
SR,0.043,0.113099
SS,0.043,0.17
ST,0.043,0.099
SV,0.043,0.055
SX,0.043,0.106037
SY,0.043,0.29
SZ,0.043,0.094
TC,0.043,0.103041
TD,0.043,0.22
TG,0.043,0.26
TH,0.043,0.027
TJ,0.043,0.44
TL,0.043,0.10023
TM,0.043,0.16093
TN,0.027,0.130016
TO,0.043,0.122087
TR,0.043,0.027
TT,0.043,0.17
TV,0.043,0.097
TW,0.043,0.05
TZ,0.043,0.2
UA,0.043,0.15
UG,0.043,0.2
US,0.043,0.0076
UY,0.043,0.085
UZ,0.043,0.36
VC,0.043,0.12
VE,0.043,0.084
VG,0.043,0.34
VI,0.043,0.02
VN,0.043,0.12
VU,0.043,0.16906
WF,0.043,0.11
WS,0.043,0.1745063
XK,0.043,0.12
YE,0.043,0.235079
YT,0.043,0.18
ZA,0.043,0.0399003
ZM,0.043,0.25
ZW,0.043,0.2119028
