userID,group,method,verified
mpr_2fHOBr0Nw6mNM2fPIKMeSyKUP0e,B,Sms,0
mpr_2fHOmoydcZfjF0UdFEmDQQifYK1,C,Sms,1
mpr_2fHRBhLrWEOcfjjblwatVXbnxoN,B,Sms,1
mpr_2fHQGGdXwbv8902hxC9C1dt1ThN,A,Sms,1
mpr_2fHSJ6Yyz6VC06GVQFjXH9q7s6m,A,Sms,1
mpr_2fHSLdVL2W7G93So2kjNGZ9jesx,A,Sms,1
mpr_2fHTNVW7NP08mCdivL5yFrPIMml,C,Whatsapp,1
mpr_2fHUbWPxkjNpGRGh03xnxPNovo9,B,Sms,1
mpr_2fHUcaIp5umq4Hq0zPjikwInwdQ,A,Sms,1
mpr_2fHYYDOVxRAAOfKCo9rVIjVpEDk,B,Sms,1
mpr_2fHZ54nCoPQXWn5dKphDbBJ4r37,A,Sms,0
mpr_2fGhqv3i66EnPICfcIZdospCiHp,B,Sms,1
mpr_2fHbKveCWjlRQnF4wgIUng3wOCd,C,Whatsapp,1
mpr_2fHby0AoGew8uMtUTn6PXYYlSI9,A,Sms,0
mpr_2fHcUATy9f8TYyiD2Ce80kF4TN5,A,Sms,1
mpr_2fHd1UIzvov9WUuJ8dRxsO58lAD,B,Sms,1
mpr_2fHeNGeZdZlfrVI6N9kcZj6aTqz,B,Sms,1
mpr_2fHfjOQ7er89K2I1dwEQdouWP5V,C,Whatsapp,0
mpr_2fHfiXy2tZDaT7xroqJF4pdtCVy,A,Sms,1
mpr_2fHfBTuUsh6fApHDC31qk5UzGas,B,Sms,1
mpr_2fHgetRyQ6Q9CW3diyIJCZchccw,B,Sms,1
mpr_2fHjtJkXO5MNpbaisiykyyj9Zyj,B,Sms,1
mpr_2fHkGSItVKjtGvrpe53qi0Ss41b,B,Whatsapp,1
mpr_2fHlfGrhmGitqdv9Qlb0muS5zAr,B,Sms,1
mpr_2fHmKXA3DmNmQ5cAaqQeDsT8OSa,A,Sms,1
mpr_2fHmiP96ZMzL0hpaxKj1wOb0WdN,C,Whatsapp,0
mpr_2fHodjXXv3XWI2G36HR79vkNtm2,B,Sms,1
mpr_2fHqJTksqP1ZNLp2F06Tfr3EcbA,A,Sms,1
mpr_2fHc3y0m1EUmy5DFySEkBnwbV1w,A,Sms,1
mpr_2fHqTK3kswkzLcbbDmZ3b9tpHl9,B,Whatsapp,1
mpr_2fHrMbipRoVMW8qgVRbvpBoUwbT,B,Sms,1
mpr_2fHt6taAQcchFCLhBiGafEVyrNK,C,Whatsapp,1
mpr_2fHuznIFqKVxtJn0DSAF8sbDQD4,A,Sms,1
mpr_2fHv5rRENOCD1Uewjs38hXpwnSj,A,Sms,1
mpr_2fHv9jfUHKfb87z9wkYfpUiP26z,B,Sms,1
mpr_2fHwNFpvS5DbSrt4EhNAQGc08Yw,C,Whatsapp,1
mpr_2fHxmtcFZeeR2lqzkQFApgsRmhQ,C,Sms,1
mpr_2fI0fH7ophve0DJRSEi98JgebpJ,A,Sms,1
mpr_2fI1q1hAjly6mmLBSsJeJEVn9wK,B,Sms,1
mpr_2fI32MwJPcoxbz2Gd0ccENSkb83,B,Sms,1
mpr_2fI4MeDWO4Khr2kDseEIxPsR02M,B,Whatsapp,0
mpr_2fIA52xj2Byow7IZaoR2HX0Lc13,B,Sms,1
mpr_2fIByffA7K0Gwi1phV1Bp33tYWd,A,Sms,1
mpr_2fIDAMDHMg4ej2AL7UzguqfGkpU,B,Sms,0
mpr_2fID7z3FCS49nzlU9C7rczZkv2f,C,Sms,1
mpr_2fIDhl1ZI9pBCq2E49ilrWcNT5N,A,Sms,1
mpr_2fIFi0Qs3aQOQNwBDJ4Szto4EEm,A,Sms,1
mpr_2fIHQGjpQuf4qmwY1CVAKpnUA1R,B,Sms,1
mpr_2fIJ3NM3Oi4FQLmpsyTxiqR5X5m,A,Sms,1
mpr_2fIIrDX8D4i7aVBiqyKjO6eUbs9,A,Sms,1
mpr_2fIL42VXelfatkubbEb7kKngG9a,A,Sms,0
mpr_2fIMq6DOf4kUkGS8WFhkGNqf1Vt,B,Sms,1
mpr_2fIMofvE1Vo9vMLUPohseMisuto,B,Sms,1
mpr_2fIOibJXMecWQDTommQ458ogEdZ,C,Whatsapp,0
mpr_2fIRJqGnJsosN9xR4X5AHBqneFO,A,Sms,0
mpr_2fIR0O1b4oVHhOHO7nWhMHbf2JD,A,Sms,1
mpr_2fIQZXc9jJ32dAOwNnQmZUHEvIH,A,Sms,1
mpr_2fIRU2iNl9jSoqeBKxZYT6BVxgO,A,Sms,1
mpr_2fIRv0McYmw58kadOFbkzAybA7s,B,Sms,0
mpr_2fIUHEK0agiiY7aHMik5X0t7Zls,B,Whatsapp,0
mpr_2fISrui8kzdRNUL7iicNTqf1rZU,C,Sms,1
mpr_2fIVCkv90xmG6RfmtL6oOjC93Vr,B,Sms,1
mpr_2fIV33onNzq1irpOE0ZnYsiUl5m,C,Sms,0
mpr_2fIV0WtEDxEyuBrL4Jlp4asXXx1,A,Sms,0
mpr_2fIVqAJd7IkPbo72VziC2REfPuT,C,Sms,1
mpr_2fIWYCUAqxJbCkwKrSqV57q4tXc,C,Whatsapp,1
mpr_2fIWaAEMlmw97LhjTM95WRLRsrU,B,Sms,1
mpr_2fIXCZUkgnw01vCxluyOlinlTk3,C,Sms,1
mpr_2fIXqVuQE1cxTYFa2j7WspbseaS,A,Sms,1
mpr_2fIZYibts9Iu9UrzB3q2mKloYDk,C,Sms,1
mpr_2fIaQA4ZMax3Uj0zVZeUNq1TcsV,C,Sms,1
mpr_2fIb8F48qkhv4XCkKJbVozh064q,A,Sms,1
mpr_2fIc87J812SkkTiQWLWnwB0aY4w,B,Sms,1
mpr_2fIdOb7sBvbocBw3dIIgMaeOWNo,C,Whatsapp,1
mpr_2fIe9JFM4BS7H2JEAHglVw12uc7,C,Whatsapp,1
mpr_2fIfFP2meC3ZO7SzqxO7j3HaucQ,B,Sms,1
mpr_2fIlCcc21rIjwlnpcN86YIzSdhj,A,Sms,1
mpr_2fIlJc5vXMEM6JYx6zggSpTrcRn,A,Sms,0
mpr_2fImo37YaGt5OVDoURpR0IyGaSI,A,Sms,1
mpr_2fIpzChY2twTdYUlHLaICnKzRPl,B,Sms,1
mpr_2fIqRhCztzxAzT6F1DnP4zccUQL,A,Sms,1
mpr_2fIsubuQ3UUhxkVKnYRolrT5V8W,A,Sms,1
mpr_2fIxfXdLkb6V3KhpBxcDPSOBvdy,B,Sms,1
mpr_2fIxtpuwzkHZRpwp0Pj58thAhmE,C,Whatsapp,1
mpr_2fJ22pkrMvue5CjT7VzqRJWm07b,A,Sms,1
mpr_2fJ4iTrbaA3ZLBqAEpFOp4l4S8g,A,Sms,0
mpr_2fJ5MjvrK0sFCIFI82QnHydW5gB,B,Sms,1
mpr_2fJ8Cdsg9Icbd0YCboXqZ7k5IzM,B,Sms,1
mpr_2fHjUUMfqymyqQVKs0AZIBf8piC,A,Sms,1
